"k_H","DH1","DH2","Hill"
288,1.07054373155296,1.0986449509049,1.05072742530871
296,1.05975733567054,1.11649201100881,1.06860604653272
304,1.07098140399826,1.08404786550518,1.06962306561454
312,1.09758075489096,1.08855915148394,1.08980348411026
320,1.09104650532822,1.09993395787151,1.08961951448745
328,1.09942951612387,1.08843385838992,1.08844007013256
336,1.11998060155096,1.1378247941666,1.0897546308276
344,1.13066467767589,1.0688239901842,1.08713947798089
352,1.08151434601585,1.08862360034066,1.08107140221583
360,1.07011498745042,1.10235428337959,1.08348665421203
368,1.06642798603883,1.06617640902491,1.07804062031741
376,1.09134552784434,1.09675054918468,1.08570478035125
384,1.08346669677709,1.07224905518167,1.09360472960086
392,1.08364130977496,1.07544016935917,1.08512439433636
400,1.05854102096926,1.09511670434514,1.07719313175989
40,0.832921428779013,0.918521303835908,0.876882917357372
48,0.995375913073119,0.922945892221973,0.924337799868144
56,0.981260350042734,0.910542522931184,0.852309200860264
64,0.897784645971438,0.938522502787477,0.855757379694334
72,0.931342497150195,0.915896504288821,0.92560317256256
80,0.953216010469623,0.940436370749496,0.946576672653549
88,0.927786968223392,1.00024496193615,0.93783384775546
96,0.945264987102094,0.925989554387491,0.960988546273999
104,0.89978840941931,0.958257191505987,0.920999989405064
112,0.918271387734196,0.883085900632622,0.922536485245687
120,0.895610561049046,0.953283032948831,0.910918383971026
128,0.922734891130608,0.971678972778825,0.919746077764338
136,0.882301183798581,0.877443716753557,0.905158139404409
144,0.87754088596872,0.95145460625265,0.920210142461394
152,0.840740804106203,0.936442656930674,0.933068533030209
160,0.859287848872754,0.942594497376629,0.946539849128492
168,0.961149792959464,0.934515881321118,0.962379632373142
176,0.89043495115325,0.923032763511965,0.964259772206233
184,0.911087186236119,0.936763744359761,0.959616054337602
192,0.930507692714009,0.951471632849338,0.957012765481949
200,0.915611700154943,0.963548991629301,0.958424667940862
208,0.934333976548436,0.954243158478491,0.963429207889549
216,0.932477126467697,0.966377405459646,0.964437833518312
224,0.955705589174048,0.961981246973133,0.955241990447291
232,0.870078400552628,0.948662093116118,0.953037385441426
240,0.922794173008877,0.984471303684679,0.946688237293819
248,0.879168974730524,0.952045572236874,0.965288399920642
256,0.968314046137048,0.9204676156339,0.965007733029628
264,0.974293746458747,0.955959389948388,0.977431542855291
272,0.967219228035792,0.957306117013279,0.976086688402754
280,0.949531050476708,0.992056812808166,0.975175326781131
288,0.940576865849003,0.980831798473853,0.985894469237982
296,0.963547269979846,0.972451243138709,0.975331021480025
304,0.969980752526579,0.972260391348333,0.967002952151035
312,0.950468449579514,0.931962766901776,0.977194169303747
320,0.986465538498271,0.976133672906255,0.978124015159565
