"k_seq","DH","MLE"
10,0.955866578847251,1.01608533103493
12,0.982708275321465,0.834707732706455
14,0.922818740726738,0.91073095495811
16,0.862631661958862,0.824530004260255
18,0.875798237375206,0.914758674885502
20,0.828872006290397,0.880887999564003
22,0.803455501596716,0.912053815312871
24,0.843910037812145,0.744997867914402
26,0.75775014957901,0.821397200985391
28,0.871960879504698,0.809736160404625
30,0.885263018690341,0.783665400338681
32,0.882320444563713,0.870334706455137
34,0.964953578592299,0.872642364023123
36,0.929540556104529,0.796950071470939
38,0.991465618111935,0.792195319267063
40,0.920517991358802,0.782287544013625
42,0.916405884846745,0.82825329114877
44,0.902335967393617,0.806816454678163
46,0.952557921001443,0.860579197985473
48,0.981643500470363,0.767175313250312
50,0.965760937702615,0.779167996463873
52,0.953666698364861,0.852051297173471
54,0.944085825788774,0.770896550770195
56,1.00844878603369,0.777248012733
58,1.02381257101669,0.789798942427955
60,1.00290719741212,0.818456279161825
62,0.992601895907453,0.809574099135562
64,0.974966096398812,0.778728827465144
66,0.972616906565565,0.777651398737317
68,0.977088861164187,0.877902220199283
70,0.991773029263389,0.890247207885804
72,1.0077091265357,0.760577733741651
74,1.01913372492992,0.767387975544412
76,1.01593133300812,0.765743393037565
78,0.939008197484352,0.870131042830696
80,0.951293474225288,0.877529509870432
82,0.949892845770724,0.873796928997074
84,1.0063843506713,0.762345306695746
86,0.997102039085123,0.770775149152834
88,1.00154370817272,0.776033505101422
90,0.996431537526796,0.774987839990443
92,0.96645425390106,0.875841670194974
94,0.959904901470125,0.875807813457911
96,0.972580736281119,0.883593926200065
98,0.971730188636271,0.881131338931533
100,0.958221182556593,0.870291171820052
102,0.977699542682198,0.823544219203273
104,0.977677711930218,0.824368751998773
106,0.980566240862011,0.818367346406882
108,0.980576938791227,0.828644646757466
110,0.979758306087474,0.828022714279462
112,0.958777089538502,0.837485137188891
114,0.962544754795752,0.848420132318434
116,0.968658634826153,0.855493100875578
118,0.965870125868503,0.852752803325513
120,0.974608150632227,0.858369593278261
122,0.975266868716311,0.851604627221722
124,0.973605474695462,0.850881727580576
126,0.963450655606439,0.792202566582246
128,0.971829622618138,0.827522847672137
130,0.974932767027117,0.838113151621254
132,0.985518092534926,0.845452262884691
134,0.977893495198864,0.842405891499842
136,0.980141675347634,0.839487191660705
138,0.985570966744538,0.844493675017927
140,0.983065108886208,0.85159637078037
142,0.975737359219793,0.844054873967185
144,0.920085650155008,0.794867373271539
146,0.93398637769339,0.803675198911315
148,0.926399578423269,0.809241580659705
150,0.944750587492916,0.836511721805314
152,0.939570837092639,0.838052549684894
154,0.949103219085494,0.845948122515209
156,0.944792158778333,0.841024690764151
158,0.943180407436545,0.838196529522726
160,0.952733630142607,0.844593666734622
162,0.947544615168691,0.842172303579948
164,0.949983658334974,0.843204286987007
166,0.944981453024807,0.836810602924895
168,0.916830085910448,0.824345375466968
170,0.91946648841481,0.824757485734663
172,0.92589189976437,0.829204889007531
174,0.926028140399029,0.833992496881712
176,0.930245559367108,0.838343235910624
178,0.926728092676846,0.834779751617963
180,0.942016950076512,0.857576936753224
182,0.934309708714709,0.856458683320506
184,0.944242171381213,0.859016447818802
186,0.947122494731547,0.858764964076064
188,0.945303241558854,0.853853941340421
190,0.944445366936488,0.855062309069899
192,0.951971924394927,0.861190519603464
194,0.950044192897675,0.856327037269977
196,0.958104130635787,0.85776425094169
198,0.951071889565702,0.85382663350478
200,0.94476112773476,0.848950494768099
10,0.924965147192901,0.533874303033998
12,1.1924980337773,0.780809842345145
14,1.12271497795368,0.726958660667342
16,1.1585421576259,0.838738914422544
18,1.05742463069823,0.900546559034126
20,1.12679474843904,0.854958605486787
22,1.15298856916069,0.782949510750893
24,1.09236641398156,0.905223926540571
26,1.03653992907513,0.896705709032108
28,1.09995187385697,1.00261120280275
30,1.13070502467389,0.886236872915195
32,1.08191232114054,0.966868193813014
34,1.13326906367611,0.967957964394647
36,1.06296709538825,0.973861997559083
38,1.11503443244551,0.942971910629423
40,1.06764315684817,0.958948103328969
42,1.14317694644517,0.913650056000431
44,1.10482804080818,0.945804799397322
46,1.10754794128453,0.896890739950354
48,1.03990573669586,0.982720592835224
50,1.02735651949018,0.966091687562404
52,1.06235021381717,0.988061284243422
54,1.10790389584853,0.920973901699978
56,1.14647270024848,0.925030485389055
58,1.13098179255459,0.937281387778732
60,1.04336254092506,1.00695191138864
62,1.03589329678249,1.00226149085195
64,1.05303846493699,1.0066816196119
66,1.05123211320208,1.00197652038619
68,1.11835947847299,0.927604623972094
70,1.10632738986307,0.928806831274917
72,1.08045473940764,0.940703015956307
74,1.06746683121315,0.927054329328609
76,1.06449615991817,0.925385583374354
78,1.077227300254,0.970419813269378
80,1.06720146487106,0.959229223363799
82,1.06540213298847,0.952839311066965
84,1.03711375215944,0.934020594342777
86,1.04671539087363,0.949316690419303
88,1.04426347536306,0.939764183088553
90,1.02969010399137,0.938278742231655
92,1.0997074691914,0.993989807739549
94,1.10419096826643,1.0086827598022
96,1.09716066841369,0.999725305280518
98,1.09504369268453,0.993089941967104
100,1.08122961007315,1.005270800767
102,1.09196457984133,0.997651260728626
104,1.09080133008545,1.00201169745866
106,1.08268848776013,0.994712533963706
108,1.07297967447568,0.998869954919023
110,1.06357342346045,0.999032266256891
112,1.10202605706212,0.919098562632965
114,1.1101430352602,0.913796428411361
116,1.10025585451754,0.906813264786397
118,1.10254791565725,0.914852055576401
120,1.08935970673578,0.906181677311795
122,1.0862362138172,0.911194722542611
124,1.07821572190747,0.902634146693136
126,1.09655857197896,0.92787071589992
128,1.09638900341617,0.921534981555644
130,1.09663377418337,0.917076487198788
132,1.09186455775829,0.909715823287017
134,1.10029764463891,0.924928608057942
136,1.10224144706273,0.92145246970119
138,1.10055101764834,0.917706605534634
140,1.09080114530817,0.915283325278712
142,1.08651485871252,0.913206409368997
144,1.1257463856186,0.951715426932526
146,1.11847794261447,0.944796565532939
148,1.12974945861754,0.950672573899304
150,1.12491714596534,0.942594924617545
152,1.13099946896775,0.940732658237842
154,1.12772115278969,0.932965733181275
156,1.14103480350546,0.94707588321587
158,1.14886560942335,0.949090799378804
160,1.14598176365334,0.942113622906346
162,1.1428245712792,0.942407334025442
164,1.13541820196333,0.934996994207359
166,1.13286867195404,0.952228532832978
168,1.14179824505059,0.961797427221582
170,1.13874104107116,0.956056173137224
172,1.1447143874082,0.951969746264797
174,1.13801878256757,0.945842260576529
176,1.13981773960602,0.949075837398863
178,1.13917914052533,0.94542571186344
180,1.1306523441815,0.948919462149423
182,1.13046615755959,0.956129996828417
184,1.12807077387318,0.952381777875435
186,1.13383398591537,0.955448462091044
188,1.13956611839377,0.962165291068201
190,1.13924957014321,0.960380440681377
192,1.13911370782521,0.955438979765158
194,1.13572056414904,0.957481771040542
196,1.12943776721581,0.952188855485702
198,1.12159377722409,0.956884449946158
200,1.11516709756046,0.957668557402578
10,0.886223342924583,0.813042776433729
12,1.07406475401225,0.785373259015346
14,0.914221862389576,0.819752539785521
16,0.988057032664407,0.896290974856704
18,1.06326723255297,0.861523184210045
20,1.00930828952465,0.907186916163927
22,1.05409407408181,0.914554271355401
24,1.09242385935945,1.02065767160855
26,0.949730444538964,0.95314549605637
28,1.01536024124973,0.96524901100576
30,1.01410563014769,0.947418810697307
32,1.04731695411705,0.819972274301865
34,1.02583077556381,1.03075163649867
36,0.998490486316655,0.94770604404353
38,1.07782870803186,0.911776598054274
40,1.04826818257555,1.05936963863083
42,1.00552968673478,1.08939862035526
44,1.01989412558236,1.07249270495671
46,0.958564293307403,1.07355234262283
48,1.03212052892773,1.03666400000759
50,1.01394533316887,1.0236022467067
52,1.00624760605904,1.02296816109865
54,1.04587259738028,1.0137342908967
56,1.02858407702996,1.05259747606065
58,1.0463014693409,1.03703403029692
60,1.01773540192804,0.96785292687361
62,1.0035420223483,0.965499854785309
64,1.07501052658596,1.00832681107468
66,1.05994174199113,1.00428670911395
68,1.03381191791066,0.979350160733048
70,1.02928185380633,0.970534750869861
72,0.998542476061927,1.06160760996027
74,0.986734752787329,1.05257814876779
76,0.98126387664656,1.04575304089339
78,1.02098819575317,0.987549184973814
80,1.01376587618155,0.979751692546148
82,0.994688044682423,1.00600275000111
84,1.03911928706605,0.977317870928318
86,1.03793337069758,0.973874912833176
