"k_seq","DH","MLE"
100,1.01520546127412,1.03022818921217
102,1.05125201607912,0.945547582115615
104,1.03974971100807,0.943543672693769
106,1.03178691082971,0.934127776669985
108,1.02660418750795,0.934316671976087
110,1.02267347208532,0.934410221690589
112,1.10707201657769,0.949097808023895
114,1.10664994556393,0.948578156158291
116,1.10069923383656,0.943695563728849
118,1.09463375802131,0.939198970383589
120,1.09276553936987,0.936033232336748
122,1.08720492689507,0.931505820857235
124,1.09171163160032,0.932487579794638
126,1.07014364363414,0.969085668805857
128,1.0954884132584,0.983230260335191
130,1.09529649872817,0.984077007014749
132,1.09173045427043,0.974741166183895
134,1.08472400856853,0.970373965058343
136,1.08386526890736,0.962330464911274
138,1.07861045911694,0.961389244162557
140,1.08325896501328,0.967284808371116
142,1.07455985613085,0.960316408738392
144,1.16442762852586,0.954207939397526
146,1.15593099235015,0.949657428297606
148,1.18636413219998,0.961204538684941
150,1.18456568256265,0.958349986246855
152,1.18250706199058,0.958104448892395
154,1.17759180324898,0.953738009978603
156,1.17440049293243,0.948578366964136
158,1.16873613255487,0.941976006468035
160,1.16985637197619,0.942238334302022
162,1.17044945418942,0.940491144832597
164,1.17129487587684,0.942875191320901
166,1.17824105150161,0.94906511837705
168,1.24197046920442,0.956020340379094
170,1.23563267808152,0.952484706971793
172,1.22520332806806,0.954690858613792
174,1.21940123461743,0.949348594754912
176,1.21834988439009,0.945932117535612
178,1.23191888876216,0.956663503198193
180,1.23080547443999,0.953521163321532
182,1.22857805734818,0.954845255384343
184,1.22815159495977,0.948670529036095
186,1.22077795909246,0.946663400934242
188,1.22003920885392,0.947724254981997
190,1.2236399292318,0.94294237783037
192,1.22887293365302,0.944668218305572
194,1.22850884276449,0.943645621218226
196,1.23076597653306,0.947326984675252
198,1.22683487394776,0.943685287818215
200,1.24281288460055,0.95083539257498
10,0.901872070749613,0.624864100455721
12,0.811752185929396,0.699313271442969
14,0.742946335809113,0.806353049226681
16,0.699017286790011,0.804012641413153
18,0.770019787099764,0.782792296187015
20,0.882905455361658,0.645152677961018
22,0.73506198409857,0.726717880126053
24,0.813051722695655,0.746235229623273
26,0.826047286964589,0.656349646314233
28,0.849216962650347,0.692632270895202
30,0.795932696750263,0.716645798006095
32,0.719834539329054,0.718519253532349
34,0.780618401082819,0.857663378260815
36,0.827858474131774,0.747869294533115
38,0.782280830519762,0.706888278878974
40,0.873499582906689,0.827929394549365
42,0.83519550292077,0.768425010731265
44,0.848634998988451,0.735035153325533
46,0.921099184241018,0.710964097617214
48,0.916405829521892,0.680860894363355
50,0.922199112263178,0.691301113267346
52,0.895879837429692,0.794522501941046
54,0.899431004042878,0.757532399629333
56,0.939150310034061,0.824010721021738
58,0.926548678013998,0.808636623007507
60,0.963841403787483,0.796294763514353
62,0.967717859289113,0.784515243490768
64,0.921347969953725,0.725223870052952
66,0.917848172086414,0.716748380670841
68,0.963243857274625,0.792161561158243
70,0.955917383240032,0.778927572692104
72,1.02385737304737,0.805544804285012
74,1.00749097929996,0.800996495599701
76,1.00218475985345,0.790741873569555
78,1.03398468156864,0.815517942069898
