"k_H","DH1","DH2","Hill"
128,1.04274555375217,1.01301275422943,1.05112415646943
136,1.10615371787452,1.02434388322218,1.05252387918271
144,1.10405798337748,1.0484445331789,1.04237660437186
152,1.06579922503793,0.98504660260928,1.03653646769074
160,1.1584030060583,0.987991507984072,1.0170863385377
168,1.12568006379843,1.01012573813611,1.00747897243375
176,1.18000428495142,1.0667341696788,1.00381623029852
184,1.1794468559476,1.06758626771252,1.03290383082813
192,1.10448059970149,1.07915913048539,1.06210614374579
200,1.11647175491942,1.05298671496973,1.0780674028398
208,1.13044448887754,1.05234482195775,1.07247328702609
216,1.17760848149304,1.08081812039036,1.07646960067434
224,1.11226786623525,1.11807279615311,1.07973546215016
232,1.19044779399208,1.10680485380675,1.06696546898324
240,1.21694155008668,1.09849182834548,1.07283830804611
248,1.16888273136823,1.09720235237512,1.06886727598425
256,1.20747242829751,1.10455651367296,1.08974671586288
264,1.18927963924358,1.10044809104938,1.11782882808024
272,1.19791598604051,1.122363760755,1.11434525748519
280,1.17590241075945,1.12580742411537,1.12618803183722
288,1.20123541551646,1.19642719413744,1.11679882156161
296,1.1828162436941,1.17112482301686,1.12390385365189
304,1.18040190745883,1.19842181587972,1.14256139499375
312,1.21755287732217,1.15612260707834,1.13483203991978
320,1.237203041923,1.17832109025408,1.15253202666411
328,1.21701906932006,1.2112287582243,1.15969953809519
336,1.26429210207007,1.15769008099646,1.15131274025551
344,1.26172180651173,1.17820203986769,1.16976650284263
352,1.24514356066615,1.18981708121422,1.16690590434059
360,1.26239926467304,1.2067679973567,1.18586449808739
368,1.24003126463201,1.23348694392474,1.19233599868876
376,1.3137167229747,1.2301834766199,1.1884341869897
384,1.24835572931176,1.23619682494603,1.19168434243854
392,1.23841206988696,1.18493294287536,1.21363888111777
400,1.24376077611072,1.20189042344042,1.20275995841182
40,0.968354522298422,0.955650581169409,1.00623024476189
48,0.999553737883467,1.02469410658663,0.961444156466813
56,0.876867171398762,1.04773870912585,1.03229527600681
64,0.994111034062979,1.02057942868276,1.04346656619811
72,0.956395432211644,1.02682176266679,1.03740474639397
80,0.951308016152036,1.0137642263653,1.06798047196181
88,1.06304449957083,1.07106066824707,1.02275515069293
96,0.914100122313465,1.11261287465641,1.03247826399579
104,1.00350349067993,1.08365337097317,1.0206121249884
112,0.920769345789219,1.03144365408989,0.990111774702661
120,1.01349933453637,1.0198016208776,1.05954697727383
128,0.989075899123089,1.09172442772948,1.0472343626826
136,1.06374246845453,1.06059456887429,1.06169083747918
144,0.951589942354972,1.02510496914236,1.06845979307611
152,0.984830674762156,1.08037259508175,1.05837829256957
160,1.03202077514351,1.03352550457584,1.0748450586486
168,1.01374365662768,1.03144581164952,1.09105798653007
176,1.06845491934219,1.10091138180275,1.07391573508921
184,1.10734067319068,1.08708621813638,1.06799127057318
192,1.01118698175502,1.02950369686445,1.06897981253572
200,1.06537319870823,1.07017471960454,1.05884321360353
208,1.05615724878205,1.07436350218853,1.06582150806368
216,1.05086334430914,1.07151379222263,1.07487672507964
224,1.09761821733285,1.06007638369769,1.06255413872538
232,1.07225471986531,1.03293425743054,1.07087774371645
240,1.06621786770872,1.03453579805842,1.0702288437434
248,1.06933614242692,1.05136242105531,1.07150616735495
256,1.0554976917719,1.07535101545183,1.08270487136021
264,1.02346520927699,1.04320979427704,1.09988864869361
272,1.09863771242026,1.04829634962423,1.08425619049627
280,1.09040176789235,1.05837887993809,1.07745135176172
288,1.09471083136687,1.0366249382394,1.06422325301414
296,1.07815305892011,1.00903789443593,1.05020320191364
304,1.04625877710731,1.02330336346699,1.06317834418154
312,1.14413742283942,1.06013609432022,1.06232309686939
320,1.14839413716961,1.04768626585154,1.05408749832883
328,1.12477878201551,1.04786482867373,1.0584598283157
336,1.07433190311881,1.0570299440312,1.05115973761436
344,1.16684948171438,1.05914594271803,1.05016121954546
352,1.12036101310435,1.06448833435815,1.04517720605735
360,1.12171411521811,1.06317061108574,1.0446280220105
368,1.12177602955857,1.09134014940603,1.04509201294967
376,1.09684688620736,1.095768753351,1.06676785943596
384,1.08314197747121,1.06128358814159,1.06572440344255
392,1.1057392617445,1.09883648921677,1.0816629790864
400,1.18468625613323,1.05565902989253,1.09532602624322
40,0.818932981420371,0.784910675543968,0.885870988035092
48,1.00684206314369,0.815140635107482,0.943218699114631
56,1.07462588617251,0.879365147483277,0.913221097514588
64,0.994964295896908,0.924091773994358,1.02060464344585
72,0.968275600241818,0.932033828487887,1.09141497027613
80,0.999686386340318,1.0821028637398,1.13133255658375
88,1.07273064134746,1.11560073379507,1.10887702479038
96,1.08222038621739,1.1605805151168,1.10748126871583
104,1.11636305556424,1.09800598992971,1.11336833233838
112,1.10390219542978,1.13834692369776,1.11107663893635
120,1.09467042823539,1.13636533891462,1.12099117927593
128,1.00557881093625,1.1772650794383,1.12515929397566
136,1.15300859398357,1.17821414044303,1.13744660184888
144,1.10251562928734,1.11991449785506,1.1855385865324
152,1.13869007827087,1.20264244115836,1.19485821319134
160,1.20154763574662,1.24930396119811,1.18883661552795
168,1.105270365235,1.21515884784144,1.20024344407017
176,1.14208382872745,1.21403317114653,1.18040575996076
184,1.25034836093895,1.15678249818894,1.18979345689272
192,1.1414382755086,1.24447862849946,1.19644966850383
200,1.17959818168208,1.22761232286587,1.1966367796314
208,1.15595428484269,1.15586123013715,1.21832448785419
216,1.08854610046284,1.20683555250711,1.20750068875987
224,1.17197254638941,1.21239042005273,1.21142983679536
232,1.12956537632176,1.1920017596198,1.18997365533933
240,1.19395767535021,1.14618300821037,1.19822764606449
248,1.13898704313169,1.18401326815108,1.18444939590673
256,1.13794076506676,1.20112669052699,1.18767899013744
264,1.19106270041165,1.18848308212946,1.18726734313596
272,1.17474757792097,1.2201513044068,1.17087165528261
280,1.12561788894076,1.20143565982403,1.15855986167955
