"d","DH","oracle"
27,1.1899396654861,1.196801606037
28,1.20306843249712,1.20129276728113
29,1.20858340896598,1.21186277147774
30,1.24666717684074,1.21737351569841
1,0.79429650502253,0.764278172910422
2,0.818932981420371,0.885870988035092
3,0.919619605537639,0.99859453632821
4,1.07141442491372,1.13133255658375
5,1.12030902221769,1.09496210400169
6,1.18250082114593,1.12099117927593
7,1.1767589918484,1.1794921597746
8,1.24930396119811,1.18883661552795
9,1.27507570475741,1.18781823663197
10,1.20777325657441,1.1966367796314
11,1.20268887316314,1.2041585602929
12,1.21296087539476,1.19822764606449
13,1.19987104050456,1.19814618299501
14,1.1938881665102,1.15855986167955
15,1.19044756296385,1.19543098413268
16,1.18317205727258,1.22742301043961
17,1.18352470642089,1.2099740515774
18,1.21352700226415,1.20595236326195
19,1.22070016928414,1.21968926619122
20,1.22288126189318,1.22440935409528
21,1.22082082800462,1.23222561161935
22,1.23846803601404,1.23256580726064
23,1.22853942045513,1.25523126367791
24,1.2573456288988,1.26051072743254
25,1.26201050694549,1.26939431500018
26,1.26398379223814,1.24731064005596
27,1.26509092547854,1.25627425484964
28,1.27175537675406,1.27186239235419
29,1.26957060620635,1.26756533463182
30,1.27604858728115,1.26865696898305
1,0.890061291782002,0.736722342024029
2,0.984088698627148,0.933122414521856
3,1.0925094907252,1.0675077984937
4,1.12024077732929,1.05254056169895
5,1.09747336348146,0.987826171571358
6,1.06588402531296,1.03625503965367
7,1.05622168172694,1.06919631446526
8,1.07702873375812,1.05129326796346
9,1.05473603857023,1.02443460890384
10,1.04307958766743,1.02455048539968
11,1.04358310702496,1.06379819028006
12,1.09863763295227,1.06863707162469
13,1.13454220358395,1.12250278897461
14,1.13593402759223,1.11455095294841
15,1.15288234607936,1.13197320718748
16,1.13517777414066,1.14165541385565
17,1.12720792782838,1.12835116349406
18,1.15103966378054,1.12391663189863
19,1.15972507600219,1.10848854215664
20,1.16930738325031,1.11393591923779
21,1.14636838504141,1.10987577545648
22,1.16146070011559,1.14128659464152
23,1.16230352042355,1.14288458750253
24,1.17065823414502,1.13703536302721
