"k_H","DH1","DH2","Hill"
248,1.08447831322905,1.02277997600964,1.02050261258047
256,1.14771523997566,1.04770939460133,1.02786936366259
264,1.09171117030282,1.07669935663559,1.03166165749413
272,1.11576694358347,1.05129497628606,1.04962158057727
280,1.10919160460482,1.06775482012654,1.04636304429941
288,1.14983433802534,1.09632293901177,1.05134701956331
296,1.17203786438256,1.04121230214668,1.05479729379168
304,1.22499934157206,1.08849214937056,1.07601008211081
312,1.18497548837207,1.08920965177334,1.08257086415771
320,1.18743329618747,1.11173483923312,1.08849574355478
328,1.18252558028494,1.11041063086338,1.08832237062475
336,1.25643286681607,1.10164007106957,1.07762036833311
344,1.19681143526256,1.11518191146434,1.09394429524205
352,1.23974785950128,1.09327112647586,1.08607321013704
360,1.30275355898146,1.11942405713408,1.08390636300524
368,1.25670715917351,1.13834342714998,1.07763186736861
376,1.23778252582422,1.13755594720049,1.07152763788927
384,1.23945106399725,1.13468130163825,1.08091177907511
392,1.22334896178191,1.13277027620497,1.08576780886737
400,1.23497778896287,1.15257710140549,1.11002359590355
40,0.945877274788009,0.948424459020746,0.957024123092559
48,1.01149083896,1.00115791610169,0.860944162239201
56,0.916232555269527,0.884122205498787,0.822923475186447
64,0.905401969966403,0.940255980393287,0.868597182067267
72,0.961383768747827,0.908291138047308,0.878275664747561
80,0.898940585610007,0.839378605012342,0.880250565152689
88,0.935064930835326,0.833773557430851,0.860416713041241
96,0.884788506595061,0.935973672846395,0.85699089385519
104,0.954508176512868,0.851644425542389,0.918084695601171
112,0.929625705302771,0.894981263882969,0.887725599260547
120,0.924476389327729,0.853838169174228,0.862625233463347
128,0.896843517742619,0.899765870647528,0.861526075964357
136,0.99882232772278,0.921524026108968,0.876117289743066
144,1.00305915267158,0.929030102338135,0.888417121104253
152,0.985423354508203,0.911019284185499,0.907115222434795
160,1.0060609141448,0.904586101584012,0.903970004049133
168,0.898190938072276,0.928632468197351,0.925058286318361
176,0.918549511775042,0.921819222021374,0.916591163676373
184,0.97393885142654,0.905364863630785,0.9222507674763
192,0.955961960674453,0.954746637320307,0.905473877589955
200,1.00043150064122,0.947259628948927,0.904939497030458
208,1.00701292548553,0.94844490434651,0.899804212454945
216,1.03181524532411,0.924858070034449,0.906057589502354
224,1.04562653816599,0.953336273423652,0.909618140235556
232,1.01628817309744,0.997070618784574,0.916499431268831
240,1.05729329066213,0.98519619119348,0.917801973759581
248,1.04117441435837,0.927333682434691,0.927734925263174
