"d","DH","oracle"
22,0.993228694112512,0.979333685806443
23,0.999274884503214,0.99263018737989
24,0.99794651317905,0.988726152073141
25,0.996848341017839,0.996544531202497
26,0.991274496598493,1.01271157764474
27,0.998163359395353,1.01621494789027
28,0.993289247984095,1.00823986602775
29,1.001156372785,1.00797539655826
30,0.999737751221502,1.00334759203983
1,0.7403994792563,0.78716291130482
2,0.954806657632331,0.932132117826033
3,1.00264339446236,0.905999586060116
4,1.07958269178399,1.01154496825781
5,1.10908967801291,1.04317867758378
6,1.13221499854558,1.14575245949762
7,1.19351720540058,1.11505069135342
8,1.2306701838775,1.11949583583335
9,1.20044744304484,1.14405882604291
10,1.1952423756963,1.17907775080165
11,1.20267033508961,1.20166863836616
12,1.19203955357504,1.20020498728969
13,1.17597203922965,1.22211777706982
14,1.19442354906348,1.21273726522701
15,1.18055621731817,1.16857886969595
16,1.1618725675788,1.14672429269106
17,1.15280217269002,1.15041571454507
18,1.13787682609077,1.1412882572175
19,1.13949207712443,1.12075929897735
20,1.13890943501946,1.12873812412101
21,1.14142108667138,1.12658519281592
22,1.14350076614766,1.11867440923693
23,1.13646295302388,1.11646920764991
24,1.12245722175,1.11457611572874
25,1.11609480320912,1.11294262656831
26,1.11059677435044,1.10962555326077
27,1.11222682773342,1.11678740013178
28,1.10343465112468,1.11332260170622
29,1.11394733612216,1.10711913012378
30,1.10274687109514,1.10768355068291
1,0.892549925651275,1.1257744660211
2,1.15556056423466,1.16490575213371
3,1.02664546561416,1.04209154309586
4,1.10443367225832,1.1320641269636
5,1.02731146795802,1.03805941081937
6,1.01887556275526,1.02995855303789
7,1.03923577279694,1.07554367669488
8,1.00606888014452,1.06492213979726
9,1.01848474384162,1.06106012515546
10,1.02845630419759,1.03833265144378
11,1.0550083993991,1.05382946553706
12,1.04253468110791,1.00775233315673
13,1.0270332622588,0.981604974282753
14,1.00850649219382,0.986553705688997
15,1.01240557997002,1.01123988752704
16,0.998099871240418,1.02014565870144
17,0.997068195890513,1.00677807125022
18,0.995745488055758,1.00229085838309
19,0.989820569411973,0.982560313003611
20,0.989184116281107,0.975408620693666
21,0.992160824923846,0.964695977235341
22,0.979535749461034,0.964828852757381
23,0.985063269028108,0.983864775381577
24,0.991081087455437,0.986678533840761
25,0.974147661661879,0.988478867687317
26,0.97524522380726,0.986067822887174
27,0.987695798382449,0.977957981153179
28,0.982516007009273,0.980122118140514
29,0.998108980172325,0.986468138560841
30,1.00345536896209,0.98119764325333
1,0.87402163379897,0.737291242176062
2,0.962631105437351,0.946080271410336
3,1.13278017717454,1.00193218648732
4,1.07642026171679,1.10471234843387
5,1.1120981826859,1.10256270450897
6,1.10359717904585,1.04927649120372
7,1.09852526544721,1.07009260029346
8,1.10652340141954,1.07560248782839
9,1.09762840989508,1.05873298852348
10,1.07789108994421,1.08154191433574
11,1.04535568453956,1.08227093317502
12,1.0646343132558,1.04516316075375
13,1.0670145096528,1.03567083130029
14,1.03129542281467,1.0195878538322
15,1.00960728470289,0.993087352459211
16,1.00086153316043,1.00228664886548
17,1.00174530354185,1.00383864686879
18,0.983232807028692,0.992136933815214
19,0.997326948037593,0.980158917377419
20,0.986058659654998,0.96885821706043
21,0.983029759446789,0.95821706757901
22,0.968049067708685,0.945955519434676
23,0.955304020552604,0.94964747777339
24,0.948465448308887,0.946736752946629
25,0.942250072653443,0.94119219145024
26,0.942842986243826,0.936083951269895
27,0.94425925260728,0.934400379498497
28,0.946373766218705,0.940412848413033
29,0.944335083675693,0.947716539518063
30,0.943009018165435,0.944632250386877
1,1.00484014713526,0.898355631012023
2,1.06318334406793,1.06596791822279
3,1.0693025654726,1.08166900195242
4,1.02875683248514,0.974949333593683
5,0.953278837308474,0.9445919292351
6,0.931911162821336,1.0089571175392
7,0.935727611190303,0.987348925193954
8,0.97638752301684,0.990131715485719
9,0.960972410662308,0.967713453337708
10,0.995104937891424,0.986821032875256
11,0.979956665941911,0.984603828734971
12,0.983679768702745,0.993158342287632
13,0.998067443774844,0.996453229756075
14,1.00851430885676,1.00027319300015
15,1.00275201535655,1.00201106782109
16,1.00577134761951,0.999879463494358
17,0.994457351426729,0.97404928656006
18,1.00683412446252,0.998785475901402
19,1.00551542395422,0.999723062939216
20,0.986602789482552,1.01813047065137
21,0.990977090923658,1.00763243118274
22,1.00079518808868,0.997453603966207
23,0.988691771310233,0.986254524636823
24,0.968842694715066,0.984267318795848
25,0.970493601452698,0.981363517048676
26,0.974099639404188,0.982399936206835
27,0.978895626947376,0.971980884235015
28,0.965870040729338,0.96685030251422
29,0.958442882027298,0.974516871667907
30,0.962150478047907,0.974172519826241
1,1.10007779300653,1.53099461173667
2,1.23246778357923,1.39035492430919
3,1.24231204311152,1.26197447360605
4,1.18969291554427,1.15104076570367
5,1.10031213483207,1.09395632293917
6,1.06781439163411,1.08189062156644
7,1.09074329276261,1.08371754649209
8,1.05880087797548,1.09282426927505
9,1.0734118166758,1.06934833811107
10,1.07745944360659,1.06980252986755
11,1.07130913555936,1.05043636112456
12,1.03752954212588,1.04723776341316
13,1.03660616201527,1.02013107834608
14,1.02723661060788,0.995282469656788
15,1.00686111726318,0.990665402440536
16,1.00230703121233,0.97895433068229
17,0.995943125340329,0.97115707153184
18,1.00268321458625,0.981067807168053
19,1.00219465485734,0.973544954330953
20,0.992444756282831,0.983444327136634
21,0.9999234621253,0.98903765637205
22,1.00107866091078,0.98600546149246
23,0.997830131137724,0.992995422905327
24,0.993632816247284,0.991617280413762
25,0.986017793741137,0.993634998496463
26,0.989219637688242,1.00556323666161
27,0.985152285876671,1.00879950567124
28,0.992423194457572,1.01424559328864
29,1.00318948561433,1.00457154953856
30,1.00717030344538,1.01194309435392
1,0.937559985768481,0.888917612772812
2,0.859477998762276,1.01026802967189
3,0.82727636304071,0.8614569876136
4,1.00526916498135,0.9790172310788
5,1.06548904964255,1.01234448399388
6,1.05516422860699,1.05685028134724
7,1.04050505710175,1.02192880820359
8,1.00851398414516,1.02246933623641
9,0.986241053655324,1.01817881242728
10,1.00092693151303,1.05177932934266
11,0.989892574192142,1.06562374747523
12,0.974380839268179,1.0559759572487
13,0.998477300004801,1.02352767683568
14,1.02990204837247,1.00824238972002
15,1.01754185699775,1.0175901240926
16,1.02408103545397,1.02824029642408
17,1.00897992804619,1.0164023305819
18,1.01690284473506,1.01728795519135
19,1.00183710778136,1.01374657235609
20,0.98662578742844,1.01845806327575
21,1.00003972739156,1.00771040036972
22,1.01073103674116,1.00341482640276
23,0.994794103056134,0.989150318138273
24,0.993415374528005,1.00870620623762
25,1.00641105667096,1.00483125203303
26,1.00823168225138,0.993595462153571
27,1.00904751042982,1.00521012857741
28,1.01171819137062,1.00569561311875
