gamma,0,1,2,k_n
1.214211587500281,1.0777415125019525,1.1041447153523813,1.120641920963802,5
1.29591406017255,1.2139822205917783,1.2297448190823483,1.2395954672088707,5
1.1604098856580458,1.1007857739241012,1.1124688654710555,1.1197124847354947,5
1.2043302539459884,1.0155171824496054,1.052975930249423,1.076123968574781,5
1.2104628512445175,1.028534194531166,1.0639123086168756,1.0859497802869578,5
1.2962723424545053,1.0447806036687084,1.093273676600705,1.12356210330751,5
1.2372885469452246,1.1099410590075578,1.1347472714751066,1.1501689265190465,5
1.1961972560272185,1.0683264945736135,1.0928440612975447,1.108207513400877,5
1.2665065750080882,1.0901078999189875,1.1245107727972947,1.1459116464121069,5
1.1956816910144985,0.9857419972002411,1.0272924630086386,1.052958617258872,5
1.1947423068321852,1.2280471397229387,1.2216343558731564,1.2176221338336242,5
1.100538637081248,1.0341718489517728,1.0473744419114026,1.055515856951768,5
1.2329660958209046,1.0278066385334694,1.0677517657537385,1.0926326304404486,5
1.1787399440813495,1.2055499202833424,1.2002725281493853,1.1970036740610337,5
1.1675243359025165,1.1841507160545228,1.18087994837758,1.1788536610078268,5
1.2165729157755862,0.9879582991185476,1.0329971723387419,1.0608870193503512,5
1.198384772587269,1.0384889313746473,1.069553756489579,1.0889083518991702,5
1.24796281359683,1.1214537647915945,1.1462869080777678,1.1616742710567707,5
1.1811453091822575,1.0834821563291568,1.1028527857926727,1.1148053210344222,5
1.189673271437753,1.2357994277144146,1.2268149813406466,1.2212170967316542,5
1.1553062395636113,1.078283736454861,1.09336638207569,1.102728817287583,5
1.209817546271289,0.9873338195611961,1.030950585784619,1.0580296137626335,5
1.2201890881430015,0.9418982449728133,0.9958379293485023,1.0295105543736305,5
1.1462989831037265,1.0808694026146848,1.093619802742305,1.101554399607491,5
1.2401251541589848,0.945523119109976,1.0039333843095248,1.0400247084193055,5
1.1506759233861192,1.0890738534663953,1.1011720013125852,1.108676048355866,5
1.1477486978340332,0.9604359173838439,0.9982311752126182,1.0213937338790378,5
1.1400913578967886,0.9301951176675538,0.9712776187711898,0.9968345587899314,5
